"MusicID","MusicName","AlbumTitle","ArtistName","GenreName","MediaTypeName","UnitPrice"
"1","For Those About To Rock (We Salute You)","For Those About To Rock We Salute You","AC/DC","Rock","MPEG audio file","0.99"
"2","Balls to the Wall","Balls to the Wall","Accept","Rock","Protected AAC audio file","0.99"
"3","Fast As a Shark","Restless and Wild","Accept","Rock","Protected AAC audio file","0.99"
"4","Restless and Wild","Restless and Wild","Accept","Rock","Protected AAC audio file","0.99"
"5","Princess of the Dawn","Restless and Wild","Accept","Rock","Protected AAC audio file","0.99"
"6","Put The Finger On You","For Those About To Rock We Salute You","AC/DC","Rock","MPEG audio file","0.99"
"7","Let's Get It Up","For Those About To Rock We Salute You","AC/DC","Rock","MPEG audio file","0.99"
"8","Inject The Venom","For Those About To Rock We Salute You","AC/DC","Rock","MPEG audio file","0.99"
"9","Snowballed","For Those About To Rock We Salute You","AC/DC","Rock","MPEG audio file","0.99"
"10","Evil Walks","For Those About To Rock We Salute You","AC/DC","Rock","MPEG audio file","0.99"
"11","C.O.D.","For Those About To Rock We Salute You","AC/DC","Rock","MPEG audio file","0.99"
"12","Breaking The Rules","For Those About To Rock We Salute You","AC/DC","Rock","MPEG audio file","0.99"
"13","Night Of The Long Knives","For Those About To Rock We Salute You","AC/DC","Rock","MPEG audio file","0.99"
"14","Spellbound","For Those About To Rock We Salute You","AC/DC","Rock","MPEG audio file","0.99"
"15","Go Down","Let There Be Rock","AC/DC","Rock","MPEG audio file","0.99"
"16","Dog Eat Dog","Let There Be Rock","AC/DC","Rock","MPEG audio file","0.99"
"17","Let There Be Rock","Let There Be Rock","AC/DC","Rock","MPEG audio file","0.99"
"18","Bad Boy Boogie","Let There Be Rock","AC/DC","Rock","MPEG audio file","0.99"
"19","Problem Child","Let There Be Rock","AC/DC","Rock","MPEG audio file","0.99"
"20","Overdose","Let There Be Rock","AC/DC","Rock","MPEG audio file","0.99"
"21","Hell Ain't A Bad Place To Be","Let There Be Rock","AC/DC","Rock","MPEG audio file","0.99"
"22","Whole Lotta Rosie","Let There Be Rock","AC/DC","Rock","MPEG audio file","0.99"
"23","Walk On Water","Big Ones","Aerosmith","Rock","MPEG audio file","0.99"
"24","Love In An Elevator","Big Ones","Aerosmith","Rock","MPEG audio file","0.99"
"25","Rag Doll","Big Ones","Aerosmith","Rock","MPEG audio file","0.99"
"26","What It Takes","Big Ones","Aerosmith","Rock","MPEG audio file","0.99"
"27","Dude (Looks Like A Lady)","Big Ones","Aerosmith","Rock","MPEG audio file","0.99"
"28","Janie's Got A Gun","Big Ones","Aerosmith","Rock","MPEG audio file","0.99"
"29","Cryin'","Big Ones","Aerosmith","Rock","MPEG audio file","0.99"
"30","Amazing","Big Ones","Aerosmith","Rock","MPEG audio file","0.99"
"31","Blind Man","Big Ones","Aerosmith","Rock","MPEG audio file","0.99"
"32","Deuces Are Wild","Big Ones","Aerosmith","Rock","MPEG audio file","0.99"
"33","The Other Side","Big Ones","Aerosmith","Rock","MPEG audio file","0.99"
"34","Crazy","Big Ones","Aerosmith","Rock","MPEG audio file","0.99"
"35","Eat The Rich","Big Ones","Aerosmith","Rock","MPEG audio file","0.99"
"36","Angel","Big Ones","Aerosmith","Rock","MPEG audio file","0.99"
"37","Livin' On The Edge","Big Ones","Aerosmith","Rock","MPEG audio file","0.99"
"38","All I Really Want","Jagged Little Pill","Alanis Morissette","Rock","MPEG audio file","0.99"
"39","You Oughta Know","Jagged Little Pill","Alanis Morissette","Rock","MPEG audio file","0.99"
"40","Perfect","Jagged Little Pill","Alanis Morissette","Rock","MPEG audio file","0.99"
"41","Hand In My Pocket","Jagged Little Pill","Alanis Morissette","Rock","MPEG audio file","0.99"
"42","Right Through You","Jagged Little Pill","Alanis Morissette","Rock","MPEG audio file","0.99"
"43","Forgiven","Jagged Little Pill","Alanis Morissette","Rock","MPEG audio file","0.99"
"44","You Learn","Jagged Little Pill","Alanis Morissette","Rock","MPEG audio file","0.99"
"45","Head Over Feet","Jagged Little Pill","Alanis Morissette","Rock","MPEG audio file","0.99"
"46","Mary Jane","Jagged Little Pill","Alanis Morissette","Rock","MPEG audio file","0.99"
"47","Ironic","Jagged Little Pill","Alanis Morissette","Rock","MPEG audio file","0.99"
"48","Not The Doctor","Jagged Little Pill","Alanis Morissette","Rock","MPEG audio file","0.99"
"49","Wake Up","Jagged Little Pill","Alanis Morissette","Rock","MPEG audio file","0.99"
"50","You Oughta Know (Alternate)","Jagged Little Pill","Alanis Morissette","Rock","MPEG audio file","0.99"
"51","We Die Young","Facelift","Alice In Chains","Rock","MPEG audio file","0.99"
"52","Man In The Box","Facelift","Alice In Chains","Rock","MPEG audio file","0.99"
"53","Sea Of Sorrow","Facelift","Alice In Chains","Rock","MPEG audio file","0.99"
"54","Bleed The Freak","Facelift","Alice In Chains","Rock","MPEG audio file","0.99"
"55","I Can't Remember","Facelift","Alice In Chains","Rock","MPEG audio file","0.99"
"56","Love, Hate, Love","Facelift","Alice In Chains","Rock","MPEG audio file","0.99"
"57","It Ain't Like That","Facelift","Alice In Chains","Rock","MPEG audio file","0.99"
"58","Sunshine","Facelift","Alice In Chains","Rock","MPEG audio file","0.99"
"59","Put You Down","Facelift","Alice In Chains","Rock","MPEG audio file","0.99"
"60","Confusion","Facelift","Alice In Chains","Rock","MPEG audio file","0.99"
"61","I Know Somethin (Bout You)","Facelift","Alice In Chains","Rock","MPEG audio file","0.99"
"62","Real Thing","Facelift","Alice In Chains","Rock","MPEG audio file","0.99"
"63","Desafinado","Warner 25 Anos","Ant�nio Carlos Jobim","Jazz","MPEG audio file","0.99"
"64","Garota De Ipanema","Warner 25 Anos","Ant�nio Carlos Jobim","Jazz","MPEG audio file","0.99"
"65","Samba De Uma Nota S� (One Note Samba)","Warner 25 Anos","Ant�nio Carlos Jobim","Jazz","MPEG audio file","0.99"
"66","Por Causa De Voc�","Warner 25 Anos","Ant�nio Carlos Jobim","Jazz","MPEG audio file","0.99"
"67","Ligia","Warner 25 Anos","Ant�nio Carlos Jobim","Jazz","MPEG audio file","0.99"
"68","Fotografia","Warner 25 Anos","Ant�nio Carlos Jobim","Jazz","MPEG audio file","0.99"
"69","Dindi (Dindi)","Warner 25 Anos","Ant�nio Carlos Jobim","Jazz","MPEG audio file","0.99"
"70","Se Todos Fossem Iguais A Voc� (Instrumental)","Warner 25 Anos","Ant�nio Carlos Jobim","Jazz","MPEG audio file","0.99"
"71","Falando De Amor","Warner 25 Anos","Ant�nio Carlos Jobim","Jazz","MPEG audio file","0.99"
"72","Angela","Warner 25 Anos","Ant�nio Carlos Jobim","Jazz","MPEG audio file","0.99"
"73","Corcovado (Quiet Nights Of Quiet Stars)","Warner 25 Anos","Ant�nio Carlos Jobim","Jazz","MPEG audio file","0.99"
"74","Outra Vez","Warner 25 Anos","Ant�nio Carlos Jobim","Jazz","MPEG audio file","0.99"
"75","O Boto (B�to)","Warner 25 Anos","Ant�nio Carlos Jobim","Jazz","MPEG audio file","0.99"
"76","Canta, Canta Mais","Warner 25 Anos","Ant�nio Carlos Jobim","Jazz","MPEG audio file","0.99"
"77","Enter Sandman","Plays Metallica By Four Cellos","Apocalyptica","Metal","MPEG audio file","0.99"
"78","Master Of Puppets","Plays Metallica By Four Cellos","Apocalyptica","Metal","MPEG audio file","0.99"
"79","Harvester Of Sorrow","Plays Metallica By Four Cellos","Apocalyptica","Metal","MPEG audio file","0.99"
"80","The Unforgiven","Plays Metallica By Four Cellos","Apocalyptica","Metal","MPEG audio file","0.99"
"81","Sad But True","Plays Metallica By Four Cellos","Apocalyptica","Metal","MPEG audio file","0.99"
"82","Creeping Death","Plays Metallica By Four Cellos","Apocalyptica","Metal","MPEG audio file","0.99"
"83","Wherever I May Roam","Plays Metallica By Four Cellos","Apocalyptica","Metal","MPEG audio file","0.99"
"84","Welcome Home (Sanitarium)","Plays Metallica By Four Cellos","Apocalyptica","Metal","MPEG audio file","0.99"
"85","Cochise","Audioslave","Audioslave","Rock","MPEG audio file","0.99"
"86","Show Me How to Live","Audioslave","Audioslave","Rock","MPEG audio file","0.99"
"87","Gasoline","Audioslave","Audioslave","Rock","MPEG audio file","0.99"
"88","What You Are","Audioslave","Audioslave","Rock","MPEG audio file","0.99"
"89","Like a Stone","Audioslave","Audioslave","Rock","MPEG audio file","0.99"
"90","Set It Off","Audioslave","Audioslave","Rock","MPEG audio file","0.99"
"91","Shadow on the Sun","Audioslave","Audioslave","Rock","MPEG audio file","0.99"
"92","I am the Highway","Audioslave","Audioslave","Rock","MPEG audio file","0.99"
"93","Exploder","Audioslave","Audioslave","Rock","MPEG audio file","0.99"
"94","Hypnotize","Audioslave","Audioslave","Rock","MPEG audio file","0.99"
"95","Bring'em Back Alive","Audioslave","Audioslave","Rock","MPEG audio file","0.99"
